NoA: 5, NoC: 5, NoS: 4
 STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH  WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH | OUT
     |             |                     |           A06Y |                          |      |     
     |             |                     |                | C03B                     |      |     
     |             |                     |                |                          | A02Y |     
     |             |                     |                |                          |      | A02Y
     |             |      C08B           |                |                          |      |     
     |             |                     |                |      C03B                |      |     
     |             | A07                 |                |                          |      |     
     |             |           C010Y     |                |                          |      |     
     |             |                     | A07Y           |                          |      |     
     |             |                     | C08Y           |                          |      |     
     |             |                     |      C08Y      |                          |      |     
     |             |                     |                | A05R                     |      |     
     |             |                     |                |                A05R      |      |     
     |             |                     |           A07Y |                          |      |     
     |             |                     | C09B           |                          |      |     
     |             |                     |      C09B      |                          |      |     
     |             |                     |                |                          | C03Y |     
     |             |                     |                |                          |      | C03Y
     |             |                     |                |                          | C04B |     
     |             |                     |                |                          |      | C04B
     |             |                     |                | A06Y                     |      |     
     |             |                     |                |                A06Y      |      |     
     |             |                     |                | A07Y                     |      |     
     |             |                     |                |                A07Y      |      |     
     |             |                     |                |                          | A05R |     
     |             |                     |                |                          |      | A05R
     |             | A07R                |                |                          |      |     
     |             |                     |                |                          | A06Y |     
     |             |                     |                |                          |      | A06Y
     |             |                     |                | C08Y                     |      |     
     |             |                     |                |      C08Y                |      |     
     |             |                     |                |                          | A07Y |     
     |             |                     |                |                          |      | A07Y
     |             |                     | A010R          |                          |      |     
     |             |                     |           A010R|                          |      |     
     |             |                     |                |                          | C08Y |     
     |             |                     |                |                          |      | C08Y
     |             |                     |                | C09B                     |      |     
     |             |                     |                |      C09B                |      |     
     |             |                     |                |                          | C09B |     
     |             |                     |                |                          |      | C09B
     |             |                     |                | A010R                    |      |     
     |             |                     |                |                A010R     |      |     
     |             |                     |                |                          | A010R |     
     |             |                     |                |                          |      | A010R
NoA: 3, NoC: 3, NoS: 4
 STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH  WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH | OUT
 INIT|             |                     |                |                          |    
 RUN |             |                     |                |                          |    
     | A01         |                     |                |                          |      |     
     |         A01 |                     |                |                          |      |     
     | C02         |                     |                |                          |      |     
     |     C02     |                     |                |                          |      |     
     | C03         |                     |                |                          |      |     
     | C04         |                     |                |                          |      |     
     | A05         |                     |                |                          |      |     
     |         A05 |                     |                |                          |      |     
     | A06         |                     |                |                          |      |     
     |     C03     |                     |                |                          |      |     
     |     C04     |                     |                |                          |      |     
     |             | A01                 |                |                          |      |     
